Score,Group
0.517003280143977,A
0.55257946902181,A
0.543461890407689,A
0.448923425944111,A
0.460541729957505,A
0.46925767938349,A
0.61069271141559,A
0.494258089988918,A
0.395568021816896,A
0.507139048204893,A
0.536831710956036,A
0.479587255175081,A
0.52835698136855,A
0.570327756011467,A
0.568036777609022,A
0.552700390290872,A
0.491164948602538,A
0.616416680884514,A
0.429181925956793,A
0.501107209685407,A
0.470516318929558,A
0.551364741673675,A
0.500910374956635,A
0.489955587647582,A
0.490290917113856,A
0.466876690932137,A
0.474469933327407,A
0.51835547357578,A
0.528702842084608,A
0.548211860945983,A
0.456650539362022,A
0.601059677879949,A
0.466050322084253,A
0.423181840826146,A
0.571172252058181,A
0.440682139673946,A
0.452571044543965,A
0.483836998675891,A
0.467016107487295,A
0.479352905345118,A
0.577924522107159,A
0.499714096741474,A
0.533786384836905,A
0.423761577197755,A
0.481911476707452,A
0.560392536959765,A
0.45349090956657,A
0.477160326694863,A
0.552966100712067,A
0.563679650033256,A
0.43490123298403,A
0.483729194779946,A
0.574328737591789,A
0.562121034319237,A
0.528275642511099,A
0.446983182278013,A
0.486277954596843,A
0.5773430544376,A
0.570942995748179,A
0.554455835710068,A
0.589373496942521,A
0.540336073359267,A
0.620439372045315,A
0.416328604289213,A
0.475481932321332,A
0.49488568034564,A
0.485429603160673,A
0.51924044867607,A
0.520527714970604,A
0.596899015412712,A
0.475421135941953,A
0.449929134343223,A
0.553133713223748,A
0.506945776417617,A
0.509225552756661,A
0.509193354096216,A
0.42053459988253,A
0.524551480353843,A
0.502459926799377,A
0.534856491473547,A
0.505112818154207,A
0.546177826967863,A
0.43419874474062,A
0.545449585896544,A
0.46943702567451,A
0.487692760262956,A
0.503817466968685,A
0.429503625609035,A
0.511534150090241,A
0.554513139909139,A
0.60833706034045,A
0.513367406368307,A
0.619667931505128,A
0.469167392130973,A
0.400791199874441,A
0.611143427771157,A
0.400519216023651,A
0.501912896838374,A
0.519405705366052,A
0.502459401217143,A
0.482783052496698,A
0.547596444903738,A
0.425857980720397,A
0.563040876268347,A
0.460560581932501,A
0.446676508493592,A
0.558698698230583,A
0.487773202610863,A
0.497762729986991,A
0.500820812156205,A
0.55119166642649,A
0.546787169070586,A
0.671235687362259,A
0.593730762948936,A
0.610558108503126,A
0.473022438282533,A
0.335141893128583,A
0.521653068005262,A
0.559056287513659,A
0.512250575455834,A
0.526424569477051,A
0.493094068033338,A
0.55421613026179,A
0.527999155372877,A
0.468114562150431,A
0.591479730147957,A
0.500981206231252,A
0.595454822902932,A
0.508132809090038,A
0.475151643170479,A
0.410457203358262,A
0.441587196480526,A
0.365255086725942,A
0.484701217956649,A
0.581223545318173,A
0.584861693904854,A
0.58439318726408,A
0.508911520464032,A
0.51017973293941,A
0.456158050914443,A
0.482516184614644,A
0.499404710654201,A
0.466597005778023,A
0.50746622246016,A
0.588730292736413,A
0.454990137770886,A
0.459827556559893,A
0.435305676010516,A
0.533856770066194,A
0.520488267275299,A
0.418026270925002,A
0.495643088776691,A
0.492567471410083,A
0.520614342130294,A
0.450695449336264,A
0.338900948098989,A
0.547201269143266,A
0.505958687727795,A
0.479307029920934,A
0.533504299201697,A
0.464942723583457,A
0.44680275346989,A
0.527390580996156,A
0.465222474260447,A
0.474664851473297,A
0.545562659540762,A
0.518522508040457,A
0.453876833317207,A
0.541807770156768,A
0.496644599643694,A
0.46755785661347,A
0.49025134162359,A
0.535897072839854,A
0.527277269503622,A
0.570833476101223,A
0.523672418072753,A
0.548049383587706,A
0.587002316688472,A
0.55601199708671,A
0.639469387447674,A
0.521845407574518,A
0.570308387881498,A
0.497503969921118,A
0.38229915914455,A
0.476501885691532,A
0.508585070309773,A
0.518738806239931,A
0.543691300017611,A
0.506607596374575,A
0.535767728574479,A
0.518182327442073,A
0.610059003115518,A
0.464738903265602,A
0.444099621522821,A
0.490551876812147,A
0.502721354556725,A
0.556798146076003,A
0.520958984452276,A
0.475073347969669,A
0.442407032335793,A
0.508423260983856,A
0.578643204523089,A
0.42249492060458,A
0.458014499198624,A
0.508278467806356,A
0.545079600460991,A
0.52927529194983,A
0.480982700266072,A
0.508663300585447,A
0.452544281349796,A
0.606467426200071,A
0.542567912843729,A
0.435491106428923,A
0.548311252207972,A
0.387001082604135,A
0.491595410034816,A
0.474193306986814,A
0.526383728972121,A
0.544047288837906,A
0.508908103985144,A
0.486315651453398,A
0.512609379197179,A
0.378012054146006,A
0.597662792916605,A
0.528415600757206,A
0.491370382750699,A
0.471781770603037,A
0.562177388906453,A
0.500699883887646,A
0.48736804208786,A
0.422683809231126,A
0.567381236753008,A
0.485083723724197,A
0.476699234632134,A
0.451866337002545,A
0.400548003232214,A
0.454359290688888,A
0.581499998206024,A
0.461312225045365,A
0.578888442727299,A
0.436498335947837,A
0.487085512299306,A
0.416980741022485,A
0.542485178672521,A
0.571063509659284,A
0.430215832238039,A
0.469886127234837,A
0.404237310105925,A
0.556266545819015,A
0.469325574390739,A
0.445528478789277,A
0.478656781449821,A
0.549692501467121,A
0.473246682956058,A
0.511009533976504,A
0.450073465408684,A
0.48873049396022,A
0.553980546316609,A
0.460268760010699,A
0.5307471109978,A
0.613267083587863,A
0.336355367448454,A
0.445600116462466,A
0.434653844594221,A
0.496583212739476,A
0.503642806145143,A
0.469548353027745,A
0.505849246583684,A
0.469604404270062,A
0.446916862402775,A
0.480087781525556,A
0.458157133274321,A
0.474568491765316,A
0.499141254614005,A
0.485814754648416,A
0.454121322305691,A
0.409870334344372,A
0.413821353573217,A
0.457370588558466,A
0.475104088603603,A
0.471688435256879,A
0.527351133329808,A
0.455617853722088,A
0.394355118871378,A
0.47112109086679,A
0.40556834120693,A
0.450566940490914,A
0.489996801987287,A
0.47941630802856,A
0.533267203940218,A
0.547281621968742,A
0.485737259304559,A
0.516563974462817,A
0.512614874817777,A
0.591981921407564,A
0.523284131039799,A
0.523763632975897,A
0.480116913547108,A
0.550148297304688,A
0.520385694286137,A
0.498274664925056,A
0.571691796759451,A
0.561717465802212,A
0.433284650740355,A
0.40107953236031,A
0.493143280640506,A
0.474710495971793,A
0.424896652407837,A
0.584704387818805,A
0.439394596321017,A
0.529214821800032,A
0.483634871332779,A
0.511690164420702,A
0.449894594257534,A
0.483078999359457,A
0.474027215838399,A
0.540097616448857,A
0.493634714579585,A
0.497536338633762,A
0.481964627381803,A
0.485975874759455,A
0.532572002344642,A
0.520262219868849,A
0.471505711431347,A
0.562428732756995,A
0.551680778870145,A
0.428214985150152,A
0.409782798778987,A
0.524015006845583,A
0.515645880397113,A
0.559516485246199,A
0.541426924336554,A
0.507704823240126,A
0.508463891909595,A
0.47532286891662,A
0.397316134112664,A
0.460072181062247,A
0.481223170325658,A
0.455826691522411,A
0.489963950416209,A
0.582649335922952,A
0.513232242338408,A
0.627480599501867,A
0.474572536312322,A
0.542979135419449,A
0.491317021980633,A
0.472416051964986,A
0.498122707991101,A
0.539419033262628,A
0.559223512356339,A
0.448860005932099,A
0.519560630081626,A
0.497321559887506,A
0.504799114023798,A
0.486051272113235,A
0.460609295816041,A
0.495600713880612,A
0.477178748562001,A
0.569523882732639,A
0.545405804445529,A
0.483424951000447,A
0.49047293948491,A
0.588770535239438,A
0.429178877895043,A
0.557544568886214,A
0.53854340522745,A
0.559982683073574,A
0.475764672610906,A
0.489988916918411,A
0.502982895011905,A
0.503694698260167,A
0.453196933592192,A
0.587845541466478,A
0.416812401912032,A
0.599995542611007,A
0.491921028492967,A
0.429763647769253,A
0.564373218678861,A
0.566019764604063,A
0.476587610775593,A
0.438602721415926,A
0.45004540904184,A
0.602401843535267,A
0.472505164243563,A
0.49910225332794,A
0.406830902010206,A
0.516502914987229,A
0.516188510940125,A
0.45582556204775,A
0.540232536310468,A
0.601378954536221,A
0.541848075997417,A
0.434981328147068,A
0.511718231547448,A
0.575276399781407,A
0.464539023275204,A
0.451434511051452,A
0.448232596244301,A
0.490260017120743,A
0.508310645916444,A
